Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-1038-08,(CRN #: 31251),Religion and the Work of a Lawyer Seminar,2,"Uelmen, Amelia J.",R,1:20-3:20,Paper
LAWJ-268-05,(CRN #: 10416),Remedies,3,"Taurman, John D.",T,11:10-1:10,R
LAWJ-1194-05,(CRN #: 33458),"Renewable Energy Seminar: Policy, Law and Projects",2,"Cummings, Michael B. / 
Strand, Megan E.L.",R,5:45-7:45,SR
LAWJ-382-08,(CRN #: 27548),Roman Law,2,"Orsy, Ladislas M.",W,11:10-1:10,5/9A
LAWJ-960-09,(CRN #: 33411),SEC Enforcement Process,2,"Dorfman, Marc B. / Radke, Mark S.",M,5:45-7:45,5/1C
LAWJ-1392-08,(CRN #: 31254),Securities Enforcement Seminar,3,"Velikonja, Urska",W,9:00-11:00,WR
LAWJ-396-05,(CRN #: 19697),Securities Regulation,3,"Brummer, Chris",TR,10:35-12:00,5/2B
LAWJ-396-07,(CRN #: 31353),Securities Regulation,3,"Wortmann, William L.",TR,6:00-7:25,TK
LAWJ-396-09,(CRN #: 10477),Securities Regulation,4,"Langevoort, Donald C.",MW,1:20-3:20,5/3B
LAWJ-1085-05,(CRN #: 25792),Sentencing Law and Policy,2,"Antell, Kira M.",M,5:45-7:45,TK
LAWJ-402-05,(CRN #: 18995),Small Business Law and Entrepreneurship Seminar,2,"Bellamy, Everett",R,3:30-5:30,Paper
LAWJ-1173-05,(CRN #: 25715),Social Enterprise and Nonprofit Law Clinic,9,"Plerhoples, Alicia",TR,1:20-3:20,SR
LAWJ-1314-05,(CRN #: 27721),Social Entrepreneurship and the Law,2,"Holderness, Chloe / 
Ng, Jonathan",T,3:30-5:30,Paper
LAWJ-1404-05,(CRN #: 31323),Social Justice and Taxation,2,"Layser, Michelle D.",W,11:10-1:10,Paper
LAWJ-1404-09,(CRN #: 31325),Social Justice and Taxation,3,"Layser, Michelle D.",W,11:10-1:10,WR
LAWJ-1191-08,(CRN #: 33435),Sovereign Debt and Financial Stability Seminar,2,"Gelpern, Anna",R,1:20-3:20,Paper
LAWJ-406-09,(CRN #: 10484),Space Law Seminar,3,"Mirmina, Steven A.",W,5:45-7:45,WR
LAWJ-775-10,(CRN #: 21797),Special Topics in State and Local Taxation,2,"Lipinski Galland, Stephanie A.",M,5:45-7:45,TK
LAWJ-417-08,(CRN #: 33510),Sports Law,3,"Snyder, Brad",TR,1:20-2:45,TK
LAWJ-435-05,(CRN #: 33506),State Government Law and Policy,2,"Chertoff, Meryl J.",T,1:20-3:20,Paper
LAWJ-415-07,(CRN #: 10488),Strategic Intelligence and Public Policy Seminar,3,"Zirkle, James W.",R,5:45-7:45,WR
LAWJ-1287-08,(CRN #: 27628),Strategic Litigation for Social Change,2,"Gura, Alan",R,11:10-1:10,Paper
LAWJ-1398-05,(CRN #: 31301),Street Law: Mock Trial Advocacy (PROJECT-BASED PRACTICUM),5,"Roe, Richard L. / 
Howell, Charisma",R,3:30-5:30,SR
LAWJ-1398-09,(CRN #: 31389),Street Law: Mock Trial Advocacy (PROJECT-BASED PRACTICUM),4,"Roe, Richard L. / 
Howell, Charisma",R,3:30-5:30,SR
LAWJ-1174-05,(CRN #: 25716),Supreme Court Institute Judicial Clerkship Practicum (PROJECT-BASED PRACTICUM),3,"Bernstein, Dori K.",M,3:30-5:30,SR
LAWJ-469-05,(CRN #: 10508),Supreme Court Litigation Seminar,2,"Ayer, Donald B.",R,3:30-5:30,SR
LAWJ-1346-05,(CRN #: 29510),Supreme Court Practice Seminar,3,"Millett, Patricia A. / 
Robinson, Michael E.",W,9:00-11:00,WR
LAWJ-1416-05,(CRN #: 31366),Supreme Court Topics: The Role of Dissenting Opinions,1,"Hartnett, Mary E.",MTWR,6:00-9:20,Paper
LAWJ-3017-09,(CRN #: 29487),Survey of Employee Benefits Law,2,"Paliga, John / Elinsky, Peter / Moran, Anne / Goldowitz, Israel",W,5:45-7:45,TK
LAWJ-2097-09,(CRN #: 29379),"Takeovers, Mergers, and Acquisitions",2,"Chan, Tony Y.",W,11:10-1:10,TK
